Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#fluoride|0732|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.412|-25.828|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|1.293|N/A|-5.315|-31.263|N/A|N/A
water#fluoride|0733|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.188|-24.284|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.982746|N/A|-4.755|-29.245|N/A|N/A
water#fluoride|0734|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.967353|-22.617|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.709032|N/A|-4.179|-27.054|N/A|N/A
water#fluoride|0735|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.790973|-21.122|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.51279|N/A|-3.689|-25.089|N/A|N/A
water#fluoride|0736|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.669519|-19.992|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.392139|N/A|-3.335|-23.604|N/A|N/A
water#fluoride|0737|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.551432|-18.755|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.284727|N/A|-2.966|-21.987|N/A|N/A
water#fluoride|0738|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.455199|-17.633|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.207124|N/A|-2.647|-20.528|N/A|N/A
water#fluoride|0739|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.389965|-16.776|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.159075|N/A|-2.414|-19.421|N/A|N/A
water#fluoride|0740|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.325212|-15.829|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.116051|N/A|-2.168|-18.206|N/A|N/A
water#fluoride|0741|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.272393|-14.961|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.084782|N/A|-1.953|-17.102|N/A|N/A
water#fluoride|0742|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.235759|-14.292|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0653299|N/A|-1.794|-16.257|N/A|N/A
water#fluoride|0746|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-22.294|-38.829|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|116.561|N/A|-28.159|27.280|N/A|N/A
water#fluoride|0747|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-17.870|-23.326|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|80.771|N/A|-23.772|15.804|N/A|N/A
water#fluoride|0748|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-13.800|-11.631|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|52.815|N/A|-19.608|7.775|N/A|N/A
